test,age_int,sex,n,lower_2.5,lower_ci_lo,lower_ci_hi,upper_97.5,upper_ci_lo,upper_ci_hi
PT,1,E,770,8.42,8.24,8.51,10.63,10.39,11.05
PT,1,K,385,8.31,8.04,8.54,11.3,10.75,11.6
PT,2,E,497,8.33,8.19,8.91,10.97,10.38,11.18
PT,2,K,383,8.49,8.32,8.84,10.58,10.08,11.15
PT,3,E,437,8.36,8.2,8.99,10.77,9.88,10.96
PT,3,K,313,8.59,8.39,8.9,10.59,10.23,11.07
PT,4,E,475,8.37,8.25,8.84,10.89,10.62,11.21
PT,4,K,350,8.82,8.38,9.13,10.67,10,10.98
PT,5,E,595,8.51,8.36,8.8,10.81,10.28,11.02
PT,5,K,383,8.54,8.45,8.87,10.83,10.39,10.99
PT,6,E,665,8.63,8.48,8.71,10.86,10.51,11.07
PT,6,K,373,8.58,8.13,8.88,11.06,10.61,11.56
PT,7,E,631,8.54,8.37,8.64,10.93,10.74,11.13
PT,7,K,395,8.46,8.18,8.68,11.04,10.83,11.57
PT,8,E,586,8.51,8.36,9.21,10.85,10.02,11.05
PT,8,K,356,8.58,8.33,8.72,10.93,10.63,11.3
PT,9,E,540,8.63,8.53,8.86,10.99,10.57,11.13
PT,9,K,341,8.77,8.64,8.98,10.7,10.47,10.88
PT,10,E,480,8.61,8.48,8.79,10.85,10.46,11.11
PT,10,K,361,8.58,8.47,9.16,10.86,10.17,11.08
PT,11,E,423,8.5,8.39,9.03,10.93,10.36,11.16
PT,11,K,352,8.97,8.71,9.38,10.34,9.94,10.59
PT,12,E,430,8.63,8.49,9.17,11.04,10.5,11.28
PT,12,K,363,8.73,8.56,9.09,10.86,10.37,10.91
PT,13,E,488,8.76,8.59,9.18,11.19,10.69,11.56
PT,13,K,413,8.55,8.4,9.12,10.91,10.26,11.03
PT,14,E,495,8.75,8.6,9.06,11.41,11.03,11.51
PT,14,K,469,8.47,8.34,8.81,10.75,10.39,11.09
PT,15,E,640,8.8,8.67,8.97,11.13,10.86,11.56
PT,15,K,587,8.52,8.33,8.72,10.6,10.08,10.91
PT,16,E,688,8.75,8.5,9,11.26,10.98,11.57
PT,16,K,707,8.56,8.49,8.79,10.55,10.26,10.71
PT,17,E,778,8.74,8.55,8.8,10.98,10.79,11.3
PT,17,K,851,8.35,8.28,8.74,10.73,10.39,10.82
aPTT,1,E,782,22.8,22.3,24.25,35.06,34.31,36.29
aPTT,1,K,390,22.99,22.46,26.34,35.08,33.72,35.67
aPTT,2,E,498,21.6,21.41,26.37,35.61,33.41,36.07
aPTT,2,K,390,22.11,21.7,25.19,34.72,32.6,35.86
aPTT,3,E,437,22.99,22.5,24.88,35.09,33.17,35.85
aPTT,3,K,305,23.65,22.61,25.89,34.9,31.56,35.48
aPTT,4,E,468,24.67,23.7,26.52,34.48,33.01,34.83
aPTT,4,K,353,22.86,22.86,26.08,34.81,32.1,35.05
aPTT,5,E,594,24.5,23.66,25.37,34.04,32.71,35.7
aPTT,5,K,377,23.56,23.4,26.32,34.79,32.66,35.24
aPTT,6,E,648,24.99,23.97,26.07,35.44,34.01,35.7
aPTT,6,K,370,23.78,23.47,26.09,35.31,31.61,35.8
aPTT,7,E,641,24.39,23.65,25.67,35.63,33.4,35.9
aPTT,7,K,392,23.19,22.99,25.53,35.01,32.35,35.78
aPTT,8,E,581,24.68,23.8,26.57,34.23,32.43,35.01
aPTT,8,K,356,24.41,23.76,27.13,34.27,32.62,35.26
aPTT,9,E,549,23.95,23.62,25.29,34.91,33.94,35.67
aPTT,9,K,336,23.84,23.65,27.44,34.36,30.42,34.7
aPTT,10,E,479,23.79,22.58,25.71,35.35,33.03,35.78
aPTT,10,K,364,24.11,23.86,25.78,34.71,31.61,34.61
aPTT,11,E,429,24.55,24,25.64,32.56,31.49,34.09
aPTT,11,K,352,25.87,23.5,27.42,33.61,31.97,34.62
aPTT,12,E,427,23.18,22.49,25.05,34.87,32.07,35.09
aPTT,12,K,362,24.05,23.81,26.44,33.85,32.05,34.42
aPTT,13,E,476,23.86,23.39,25.43,34.53,31.9,34.61
aPTT,13,K,409,23.55,23.21,25.08,33.81,31.2,34.24
aPTT,14,E,495,23.3,23.08,25.28,34.29,32.41,34.74
aPTT,14,K,468,22.77,22.41,24.91,33.34,31.47,33.8
aPTT,15,E,622,23.72,23.02,24.65,33.71,30.92,34.04
aPTT,15,K,572,22.34,22.22,25.12,33.39,31.74,33.63
aPTT,16,E,688,21.73,21.46,23.37,33.29,31.83,33.99
aPTT,16,K,705,23.42,22.68,24.21,33.54,30.63,33.73
aPTT,17,E,807,23.69,22.62,24.78,32.85,32.34,33.69
aPTT,17,K,879,23.19,22.9,24.54,33.4,32.35,33.86
Fibrinogen,1,Combined,208,1.78,1.7,1.87,3.2,2.97,3.45
Fibrinogen,2,Combined,167,1.75,1.69,1.97,3.67,3.15,3.89
Fibrinogen,3,Combined,138,1.88,1.59,2.16,2.93,2.61,4.35
Fibrinogen,4,Combined,148,1.9,1.81,2.57,3.48,2.72,4.03
Fibrinogen,5,Combined,172,1.9,1.71,2.19,3.29,3.07,4
Fibrinogen,6,Combined,171,1.94,1.73,2.54,3.59,2.57,3.98
Fibrinogen,7,Combined,165,2.03,1.96,2.1,3.59,3.39,3.83
Fibrinogen,8,Combined,155,1.85,1.77,2.03,4.01,3.19,4.13
Fibrinogen,9,Combined,148,2.05,1.85,2.25,3.4,2.98,3.67
Fibrinogen,10,Combined,164,2.03,1.91,2.53,3.83,2.91,4.14
Fibrinogen,11,Combined,137,2.21,1.98,2.49,3.75,3.36,3.95
Fibrinogen,12,Combined,146,2.08,1.95,2.57,3.39,2.71,3.67
Fibrinogen,13,Combined,166,1.96,1.83,2.09,3.8,3.42,4.06
Fibrinogen,14,Combined,188,1.87,1.79,2.05,4.1,3.33,4.39
Fibrinogen,15,Combined,240,1.66,1.63,2.08,4.49,4.05,4.76
Fibrinogen,16,Combined,278,1.63,1.47,2,3.78,3.16,4.62
Fibrinogen,17,Combined,375,1.77,1.72,2.03,4.36,3.42,4.42
